년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
1981-07-01,108,25.4,22.5,29.3
1982-07-01,108,25.1,21.3,30.1
1983-07-01,108,23.6,21,26.8
1984-07-01,108,25.2,22,29.5
1985-07-01,108,25.3,22.1,29.2
1986-07-01,108,23.5,20.5,27
1987-07-01,108,23.7,20.9,27.1
1988-07-01,108,24.4,21.6,27.8
1989-07-01,108,24.5,21.2,28.5
1990-07-01,108,24.9,22,28.4
1991-07-01,108,24.3,21.4,27.8
1992-07-01,108,24.8,22,28.4
1993-07-01,108,23.3,19.8,27.6
1994-07-01,108,28.5,25.3,32.6
1995-07-01,108,24.5,21.7,27.8
1996-07-01,108,24.4,21.2,28.3
1997-07-01,108,26.1,22.8,30.1
1998-07-01,108,24.9,21.9,28.6
1999-07-01,108,25.9,22.3,30
2000-07-01,108,26.8,23.1,31
2001-07-01,108,25.9,22.9,29.9
2002-07-01,108,25.2,22.2,28.8
2003-07-01,108,23.8,20.7,27.7
2004-07-01,108,24.8,22.3,27.7
2005-07-01,108,25.3,22.7,28.8
2006-07-01,108,23.1,20.9,26
2007-07-01,108,24.2,21.3,27.8
2008-07-01,108,25.1,22.6,28.4
2009-07-01,108,24.3,21,28.2
2010-07-01,108,25.8,23.1,29.3
,,,,
